107573,51,תל אביב ,267,כפר שמריהו ,101 ,החורש ,official ,101
107613,51,תל אביב ,267,כפר שמריהו ,9545 ,אביב דרך ,synonym of 116 ,116
107614,51,תל אביב ,267,כפר שמריהו ,117 ,הרקפות ,official ,117
107615,51,תל אביב ,267,כפר שמריהו ,9546 ,הרקפת ,synonym of 117 ,117
107616,51,תל אביב ,267,כפר שמריהו ,118 ,הנוטע ,official ,118
107617,51,תל אביב ,267,כפר שמריהו ,119 ,סמ הזורע ,official ,119
107618,51,תל אביב ,267,כפר שמריהו ,9547 ,הזורע סמ ,synonym of 119 ,119
107619,51,תל אביב ,267,כפר שמריהו ,9548 ,הזורע סמטה ,synonym of 119 ,119
107620,51,תל אביב ,267,כפר שמריהו ,120 ,שביל השקד ,official ,120
107621,51,תל אביב ,267,כפר שמריהו ,9549 ,השקד ,synonym of 120 ,120
107622,51,תל אביב ,267,כפר שמריהו ,9550 ,השקד שביל ,synonym of 120 ,120
107623,51,תל אביב ,267,כפר שמריהו ,9551 ,סמ השקד ,synonym of 120 ,120
107624,51,תל אביב ,267,כפר שמריהו ,121 ,הזית ,official ,121
107625,51,תל אביב ,267,כפר שמריהו ,125 ,התלמים ,official ,125
107626,51,תל אביב ,267,כפר שמריהו ,9552 ,השדות שביל ,synonym of 125 ,125
107627,51,תל אביב ,267,כפר שמריהו ,9553 ,שביל השדות ,synonym of 125 ,125
107628,51,תל אביב ,267,כפר שמריהו ,9554 ,שביל התלמים ,synonym of 125 ,125
107629,51,תל אביב ,267,כפר שמריהו ,126 ,הדקלים ,official ,126
107630,51,תל אביב ,267,כפר שמריהו ,9555 ,דקלים ,synonym of 126 ,126
107631,51,תל אביב ,267,כפר שמריהו ,129 ,הנוריות ,official ,129
107632,51,תל אביב ,267,כפר שמריהו ,130 ,שביל היסמין ,official ,130
107633,51,תל אביב ,267,כפר שמריהו ,9556 ,סמ היסמין ,synonym of 130 ,130
107634,51,תל אביב ,267,כפר שמריהו ,9557 ,היסמין ,synonym of 130 ,130
107635,51,תל אביב ,267,כפר שמריהו ,131 ,הסביון ,official ,131
107636,51,תל אביב ,267,כפר שמריהו ,9558 ,שביל הסביון ,synonym of 131 ,131
107637,51,תל אביב ,267,כפר שמריהו ,9559 ,סמ הסביון ,synonym of 131 ,131
107638,51,תל אביב ,267,כפר שמריהו ,132 ,דרך רגבים ,official ,132
107639,51,תל אביב ,267,כפר שמריהו ,9560 ,רגבים ,synonym of 132 ,132
107640,51,תל אביב ,267,כפר שמריהו ,133 ,סמ החרצית ,official ,133
107641,51,תל אביב ,267,כפר שמריהו ,9561 ,החרצית ,synonym of 133 ,133
107642,51,תל אביב ,267,כפר שמריהו ,9562 ,שביל החרצית ,synonym of 133 ,133
107643,51,תל אביב ,267,כפר שמריהו ,134 ,שביל הרימונים ,official ,134
107644,51,תל אביב ,267,כפר שמריהו ,9563 ,הרמונים ,synonym of 134 ,134
107645,51,תל אביב ,267,כפר שמריהו ,9564 ,סמ הרימונים ,synonym of 134 ,134
107646,51,תל אביב ,267,כפר שמריהו ,9565 ,הרימונים ,synonym of 134 ,134
107647,51,תל אביב ,267,כפר שמריהו ,9566 ,סמ הרמונים ,synonym of 134 ,134
107648,51,תל אביב ,267,כפר שמריהו ,135 ,סמ אביב ,official ,135
107649,51,תל אביב ,267,כפר שמריהו ,9567 ,סמ האביב ,synonym of 135 ,135
107650,51,תל אביב ,267,כפר שמריהו ,136 ,סמ האורנים ,official ,136
107651,51,תל אביב ,267,כפר שמריהו ,137 ,סמ הברושים ,official ,137
107652,51,תל אביב ,267,כפר שמריהו ,9568 ,הברושים ,synonym of 137 ,137
107653,51,תל אביב ,267,כפר שמריהו ,9569 ,שביל הברושים ,synonym of 137 ,137
107654,51,תל אביב ,267,כפר שמריהו ,138 ,שביל המערות ,official ,138
107655,51,תל אביב ,267,כפר שמריהו ,9570 ,המערות ,synonym of 138 ,138
107656,51,תל אביב ,267,כפר שמריהו ,139 ,שביל הכלניות ,official ,139
107657,51,תל אביב ,267,כפר שמריהו ,9571 ,הכלניות ,synonym of 139 ,139
107658,51,תל אביב ,267,כפר שמריהו ,140 ,שביל התפוזים ,official ,140
107659,51,תל אביב ,267,כפר שמריהו ,9572 ,התפוזים ,synonym of 140 ,140
107660,51,תל אביב ,267,כפר שמריהו ,141 ,סמ האלון ,official ,141
107661,51,תל אביב ,267,כפר שמריהו ,9573 ,האלון ,synonym of 141 ,141
107662,51,תל אביב ,267,כפר שמריהו ,142 ,שביל החצבים ,official ,142
107663,51,תל אביב ,267,כפר שמריהו ,9574 ,החצבים ,synonym of 142 ,142
107664,51,תל אביב ,267,כפר שמריהו ,143 ,שביל החרוב ,official ,143
107665,51,תל אביב ,267,כפר שמריהו ,9575 ,החרוב ,synonym of 143 ,143
107666,51,תל אביב ,267,כפר שמריהו ,144 ,שביל הבנים ,official ,144
107667,51,תל אביב ,267,כפר שמריהו ,9576 ,הבנים ,synonym of 144 ,144
107668,51,תל אביב ,267,כפר שמריהו ,145 ,שביל התאנים ,official ,145
107669,51,תל אביב ,267,כפר שמריהו ,9577 ,התאנים ,synonym of 145 ,145
107670,51,תל אביב ,267,כפר שמריהו ,146 ,שביל הכורם ,official ,146
107671,51,תל אביב ,267,כפר שמריהו ,9578 ,הכורם ,synonym of 146 ,146
107672,51,תל אביב ,267,כפר שמריהו ,147 ,התמר ,official ,147
107673,51,תל אביב ,267,כפר שמריהו ,9579 ,תמר ,synonym of 147 ,147
107674,51,תל אביב ,267,כפר שמריהו ,150 ,כיכר הראשונים ,official ,150
107675,51,תל אביב ,267,כפר שמריהו ,9580 ,ככר הראשונים ,synonym of 150 ,150
107676,51,תל אביב ,267,כפר שמריהו ,9581 ,הראשונים ,synonym of 150 ,150
107677,51,תל אביב ,267,כפר שמריהו ,151 ,שביל המעלות ,official ,151
107678,51,תל אביב ,267,כפר שמריהו ,9582 ,המעלות ,synonym of 151 ,151
107679,51,תל אביב ,267,כפר שמריהו ,152 ,שביל היוגב ,official ,152
107680,51,תל אביב ,267,כפר שמריהו ,9583 ,היוגב ,synonym of 152 ,152
107681,51,תל אביב ,267,כפר שמריהו ,153 ,הצבעונים ,official ,153
107682,51,תל אביב ,267,כפר שמריהו ,154 ,שביל החיטה ,official ,154
107683,51,תל אביב ,267,כפר שמריהו ,9584 ,החיטה ,synonym of 154 ,154
107684,51,תל אביב ,267,כפר שמריהו ,155 ,שביל הדגנים ,official ,155
107685,51,תל אביב ,267,כפר שמריהו ,9585 ,הדגנים ,synonym of 155 ,155
107686,51,תל אביב ,267,כפר שמריהו ,156 ,שביל השעורה ,official ,156
107687,51,תל אביב ,267,כפר שמריהו ,9586 ,השעורה ,synonym of 156 ,156
107688,51,תל אביב ,267,כפר שמריהו ,157 ,אגס ,official ,157
107689,51,תל אביב ,267,כפר שמריהו ,158 ,ארז ,official ,158
107690,51,תל אביב ,267,כפר שמריהו ,159 ,אשל ,official ,159
107691,51,תל אביב ,267,כפר שמריהו ,160 ,דולב ,official ,160
107692,51,תל אביב ,267,כפר שמריהו ,161 ,הדס ,official ,161
107693,51,תל אביב ,267,כפר שמריהו ,162 ,לבנה ,official ,162
107694,51,תל אביב ,267,כפר שמריהו ,163 ,שיטה ,official ,163
107695,51,תל אביב ,267,כפר שמריהו ,164 ,שביל הפקאן ,official ,164
107696,51,תל אביב ,267,כפר שמריהו ,9000 ,כפר שמריהו ,official ,9000
107697,51,תל אביב ,267,כפר שמריהו ,9587 ,הגלבוע ,synonym of 9000 ,9000
107698,51,תל אביב ,267,כפר שמריהו ,9588 ,כפר שמריהו ב ,synonym of 9000 ,9000
107699,51,תל אביב ,267,כפר שמריהו ,9589 ,שגרירות גרמניה ,synonym of 9000 ,9000
107700,51,תל אביב ,346,גליל ים ,9000 ,גליל ים ,official ,9000
107701,51,תל אביב ,2650,רמת השרון ,101 ,החלוץ ,official ,101
107702,51,תל אביב ,2650,רמת השרון ,9521 ,החלוצים ,synonym of 101 ,101
107703,51,תל אביב ,2650,רמת השרון ,102 ,שבי ציון ,official ,102
107704,51,תל אביב ,2650,רמת השרון ,103 ,נרקיסים ,official ,103
107705,51,תל אביב ,2650,רמת השרון ,104 ,עזרא ,official ,104
107706,51,תל אביב ,2650,רמת השרון ,9522 ,בן עזרא ,synonym of 104 ,104
107707,51,תל אביב ,2650,רמת השרון ,9523 ,עזר ,synonym of 104 ,104
107708,51,תל אביב ,2650,רמת השרון ,105 ,האלון ,official ,105
107709,51,תל אביב ,2650,רמת השרון ,106 ,נהרדעא ,official ,106
107710,51,תל אביב ,2650,רמת השרון ,107 ,אגרת תימן ,official ,107
107711,51,תל אביב ,2650,רמת השרון ,9524 ,נגארה ,synonym of 107 ,107
107712,51,תל אביב ,2650,רמת השרון ,9525 ,איגרת תימן ,synonym of 107 ,107
107713,51,תל אביב ,2650,רמת השרון ,109 ,סמ שאר ישוב ,official ,109
107714,51,תל אביב ,2650,רמת השרון ,9526 ,שאר ישוב סמ ,synonym of 109 ,109
107715,51,תל אביב ,2650,רמת השרון ,9527 ,שאר ישוב סמטה ,synonym of 109 ,109
107716,51,תל אביב ,2650,רמת השרון ,9528 ,שאר ישוב ,synonym of 109 ,109
107717,51,תל אביב ,2650,רמת השרון ,110 ,סמ הרב ,official ,110
107718,51,תל אביב ,2650,רמת השרון ,9529 ,הרב ,synonym of 110 ,110
107719,51,תל אביב ,2650,רמת השרון ,111 ,הנביאים ,official ,111
107720,51,תל אביב ,2650,רמת השרון ,112 ,בית גוברין ,official ,112
107721,51,תל אביב ,2650,רמת השרון ,113 ,מודיעין ,official ,113
107722,51,תל אביב ,2650,רמת השרון ,114 ,שבזי ,official ,114
107723,51,תל אביב ,2650,רמת השרון ,115 ,לכיש ,official ,115
107724,51,תל אביב ,2650,רמת השרון ,116 ,אילת ,official ,116
107725,51,תל אביב ,2650,רמת השרון ,9530 ,אחי אילת ,synonym of 116 ,116
107726,51,תל אביב ,2650,רמת השרון ,9531 ,אילה ,synonym of 116 ,116
107727,51,תל אביב ,2650,רמת השרון ,117 ,נצנה ,official ,117
107728,51,תל אביב ,2650,רמת השרון ,9532 ,ניצנה ,synonym of 117 ,117
107729,51,תל אביב ,2650,רמת השרון ,118 ,בית שמאי ,official ,118
107730,51,תל אביב ,2650,רמת השרון ,9533 ,שמאי ,synonym of 118 ,118
107731,51,תל אביב ,2650,רמת השרון ,119 ,יהודה הלוי ,official ,119
107732,51,תל אביב ,2650,רמת השרון ,120 ,בית הלל ,official ,120
107733,51,תל אביב ,2650,רמת השרון ,9534 ,בית הילל ,synonym of 120 ,120
107734,51,תל אביב ,2650,רמת השרון ,121 ,יהודה הנשיא ,official ,121
107735,51,תל אביב ,2650,רמת השרון ,122 ,שמואל הנגיד ,official ,122
107736,51,תל אביב ,2650,רמת השרון ,123 ,סמ אלחריזי ,official ,123
107737,51,תל אביב ,2650,רמת השרון ,9535 ,אלחריזי סמ ,synonym of 123 ,123
107738,51,תל אביב ,2650,רמת השרון ,9536 ,אלחריזי ,synonym of 123 ,123
107739,51,תל אביב ,2650,רמת השרון ,9537 ,אלחריזי סמטה ,synonym of 123 ,123
107740,51,תל אביב ,2650,רמת השרון ,124 ,מרגנית ,official ,124
107741,51,תל אביב ,2650,רמת השרון ,125 ,תחכמוני ,official ,125
107742,51,תל אביב ,2650,רמת השרון ,9538 ,תחכימוני ,synonym of 125 ,125
107743,51,תל אביב ,2650,רמת השרון ,126 ,בן זכאי ,official ,126
107744,51,תל אביב ,2650,רמת השרון ,9539 ,יחזקאל הזקן ,synonym of 126 ,126
107745,51,תל אביב ,2650,רמת השרון ,127 ,בר יוחאי ,official ,127
107746,51,תל אביב ,2650,רמת השרון ,128 ,חשמונאים ,official ,128
107747,51,תל אביב ,2650,רמת השרון ,9540 ,החשמונאים ,synonym of 128 ,128
107748,51,תל אביב ,2650,רמת השרון ,129 ,סמ רקפת ,official ,129
107749,51,תל אביב ,2650,רמת השרון ,9541 ,רקפת סמטה ,synonym of 129 ,129
107750,51,תל אביב ,2650,רמת השרון ,9542 ,רקפת סמ ,synonym of 129 ,129
107751,51,תל אביב ,2650,רמת השרון ,9543 ,הרקפת ,synonym of 129 ,129
107752,51,תל אביב ,2650,רמת השרון ,130 ,ארלוזורוב ,official ,130
107753,51,תל אביב ,2650,רמת השרון ,131 ,הוז דב ,official ,131
107754,51,תל אביב ,2650,רמת השרון ,9544 ,החשמל ,synonym of 131 ,131
107755,51,תל אביב ,2650,רמת השרון ,132 ,שבטי ישראל ,official ,132
107756,51,תל אביב ,2650,רמת השרון ,133 ,שחל ,official ,133
107757,51,תל אביב ,2650,רמת השרון ,9545 ,השחל ,synonym of 133 ,133
107758,51,תל אביב ,2650,רמת השרון ,9546 ,שחל ,synonym of 133 ,133
107759,51,תל אביב ,2650,רמת השרון ,134 ,הרב קוק ,official ,134
107760,51,תל אביב ,2650,רמת השרון ,9547 ,קוק הרב ,synonym of 134 ,134
107761,51,תל אביב ,2650,רמת השרון ,9548 ,קוק ,synonym of 134 ,134
107762,51,תל אביב ,2650,רמת השרון ,135 ,הרב ריינס ,official ,135
107763,51,תל אביב ,2650,רמת השרון ,9549 ,רינס הרב ,synonym of 135 ,135
107764,51,תל אביב ,2650,רמת השרון ,9550 ,ריינס הרב ,synonym of 135 ,135
107765,51,תל אביב ,2650,רמת השרון ,9551 ,הרב רינס ,synonym of 135 ,135
107766,51,תל אביב ,2650,רמת השרון ,9552 ,ריינס ,synonym of 135 ,135
107767,51,תל אביב ,2650,רמת השרון ,136 ,המלכים ,official ,136
107768,51,תל אביב ,2650,רמת השרון ,9553 ,המלכים קוטג ,synonym of 136 ,136
107769,51,תל אביב ,2650,רמת השרון ,137 ,בית השואבה ,official ,137
107770,51,תל אביב ,2650,רמת השרון ,9554 ,בית השואבה סמ ,synonym of 137 ,137
107771,51,תל אביב ,2650,רמת השרון ,138 ,נורית ,official ,138
107772,51,תל אביב ,2650,רמת השרון ,139 ,סנש חנה ,official ,139
107773,51,תל אביב ,2650,רמת השרון ,9555 ,סנש ,synonym of 139 ,139
107774,51,תל אביב ,2650,רמת השרון ,140 ,עין גדי ,official ,140
107775,51,תל אביב ,2650,רמת השרון ,141 ,סמ סיגלית ,official ,141
107776,51,תל אביב ,2650,רמת השרון ,9556 ,סמ סגלית ,synonym of 141 ,141
107777,51,תל אביב ,2650,רמת השרון ,9557 ,סגלית סמ ,synonym of 141 ,141
107778,51,תל אביב ,2650,רמת השרון ,9558 ,סגלית סמטה ,synonym of 141 ,141
107779,51,תל אביב ,2650,רמת השרון ,142 ,מסדה ,official ,142
107780,51,תל אביב ,2650,רמת השרון ,143 ,יצחק שדה ,official ,143
107781,51,תל אביב ,2650,רמת השרון ,9559 ,שדה יצחק ,synonym of 143 ,143
107782,51,תל אביב ,2650,רמת השרון ,144 ,הרב הרצוג ,official ,144
107783,51,תל אביב ,2650,רמת השרון ,9560 ,הרצוג הרב ,synonym of 144 ,144
107784,51,תל אביב ,2650,רמת השרון ,9561 ,הרצוג ,synonym of 144 ,144
107785,51,תל אביב ,2650,רמת השרון ,145 ,מוהליבר ,official ,145
107786,51,תל אביב ,2650,רמת השרון ,146 ,בלפור ,official ,146
107787,51,תל אביב ,2650,רמת השרון ,147 ,הגדודים ,official ,147
107788,51,תל אביב ,2650,רמת השרון ,148 ,בוקק ,official ,148
107789,51,תל אביב ,2650,רמת השרון ,149 ,הדסים ,official ,149
107790,51,תל אביב ,2650,רמת השרון ,9562 ,הדס ,synonym of 149 ,149
107791,51,תל אביב ,2650,רמת השרון ,150 ,הרמון ,official ,150
107792,51,תל אביב ,2650,רמת השרון ,9563 ,הערמון ,synonym of 150 ,150
107793,51,תל אביב ,2650,רמת השרון ,9564 ,הרימון ,synonym of 150 ,150
107794,51,תל אביב ,2650,רמת השרון ,151 ,התומר ,official ,151
107795,51,תל אביב ,2650,רמת השרון ,9565 ,התמר ,synonym of 151 ,151
107796,51,תל אביב ,2650,רמת השרון ,152 ,התאנה ,official ,152
107797,51,תל אביב ,2650,רמת השרון ,153 ,הזית ,official ,153
107798,51,תל אביב ,2650,רמת השרון ,154 ,הגפן ,official ,154
107799,51,תל אביב ,2650,רמת השרון ,9566 ,הגפן קוטג ,synonym of 154 ,154
107800,51,תל אביב ,2650,רמת השרון ,9567 ,הגפן המשך ,synonym of 154 ,154
107801,51,תל אביב ,2650,רמת השרון ,155 ,טרומפלדור ,official ,155
107802,51,תל אביב ,2650,רמת השרון ,156 ,נווה רעים ,official ,156
107803,51,תל אביב ,2650,רמת השרון ,9568 ,נוה רעים ,synonym of 156 ,156
107804,51,תל אביב ,2650,רמת השרון ,157 ,סמ במעלה ,official ,157
107805,51,תל אביב ,2650,רמת השרון ,9569 ,במעלה סמטה ,synonym of 157 ,157
107806,51,תל אביב ,2650,רמת השרון ,9570 ,במעלה ,synonym of 157 ,157
107807,51,תל אביב ,2650,רמת השרון ,9571 ,במעלה סמ ,synonym of 157 ,157
107808,51,תל אביב ,2650,רמת השרון ,158 ,פרץ ,official ,158
107809,51,תל אביב ,2650,רמת השרון ,159 ,טהון ,official ,159
107810,51,תל אביב ,2650,רמת השרון ,160 ,נורדאו ,official ,160
107811,51,תל אביב ,2650,רמת השרון ,161 ,הדר ,official ,161
107812,51,תל אביב ,2650,רמת השרון ,162 ,החרוב ,official ,162
107813,51,תל אביב ,2650,רמת השרון ,163 ,דרך ראשונים ,official ,163
107814,51,תל אביב ,2650,רמת השרון ,9572 ,ש ראשונים ,synonym of 163 ,163
107815,51,תל אביב ,2650,רמת השרון ,9573 ,ראשונים דרך ,synonym of 163 ,163
107816,51,תל אביב ,2650,רמת השרון ,9574 ,הראשונים ,synonym of 163 ,163
107817,51,תל אביב ,2650,רמת השרון ,9575 ,ראשונים ,synonym of 163 ,163
107818,51,תל אביב ,2650,רמת השרון ,164 ,גורדון ,official ,164
107819,51,תל אביב ,2650,רמת השרון ,9576 ,גורדון א ד ,synonym of 164 ,164
107820,51,תל אביב ,2650,רמת השרון ,165 ,ויתקין ,official ,165
107821,51,תל אביב ,2650,רמת השרון ,166 ,החרש ,official ,166
107822,51,תל אביב ,2650,רמת השרון ,167 ,המסגר ,official ,167
107823,51,תל אביב ,2650,רמת השרון ,168 ,יגיע כפים ,official ,168
107824,51,תל אביב ,2650,רמת השרון ,9577 ,יגיע כפיים ,synonym of 168 ,168
107825,51,תל אביב ,2650,רמת השרון ,169 ,רמז ,official ,169
107826,51,תל אביב ,2650,רמת השרון ,170 ,שלום עליכם ,official ,170
107827,51,תל אביב ,2650,רמת השרון ,171 ,חטיבת אלכסנדרוני ,official ,171
107828,51,תל אביב ,2650,רמת השרון ,9578 ,חט אלכסנדרוני ,synonym of 171 ,171
107829,51,תל אביב ,2650,רמת השרון ,9579 ,אלכסנדרוני ,synonym of 171 ,171
107830,51,תל אביב ,2650,רמת השרון ,172 ,הבעשט ,official ,172
107831,51,תל אביב ,2650,רמת השרון ,9580 ,הבעשט ,synonym of 172 ,172
107832,51,תל אביב ,2650,רמת השרון ,173 ,קדש ,official ,173
107833,51,תל אביב ,2650,רמת השרון ,174 ,מגידו ,official ,174
107834,51,תל אביב ,2650,רמת השרון ,175 ,האומנויות ,official ,175
107835,51,תל אביב ,2650,רמת השרון ,176 ,האתרוג ,official ,176
107836,51,תל אביב ,2650,רמת השרון ,177 ,הושע ,official ,177
107837,51,תל אביב ,2650,רמת השרון ,178 ,ירמיהו ,official ,178
107838,51,תל אביב ,2650,רמת השרון ,9581 ,נחמיה ,synonym of 178 ,178
107839,51,תל אביב ,2650,רמת השרון ,179 ,שץ צבי ,official ,179
107840,51,תל אביב ,2650,רמת השרון ,180 ,סמ ויצו ,official ,180
107841,51,תל אביב ,2650,רמת השרון ,9582 ,ויצו ,synonym of 180 ,180
107842,51,תל אביב ,2650,רמת השרון ,9583 ,ויצו ,synonym of 180 ,180
107843,51,תל אביב ,2650,רמת השרון ,181 ,מעון אקדמאים ,official ,181
107844,51,תל אביב ,2650,רמת השרון ,182 ,דרך הטניס ,official ,182
107845,51,תל אביב ,2650,רמת השרון ,9584 ,דרך מרכז הטניס ,synonym of 182 ,182
107846,51,תל אביב ,2650,רמת השרון ,183 ,תעש ,official ,183
107847,51,תל אביב ,2650,רמת השרון ,184 ,ערוגות ,official ,184
107848,51,תל אביב ,2650,רמת השרון ,9585 ,הערוגות ,synonym of 184 ,184
107849,51,תל אביב ,2650,רמת השרון ,185 ,סמ אסף ,official ,185
107850,51,תל אביב ,2650,רמת השרון ,9586 ,אסף ,synonym of 185 ,185
107851,51,תל אביב ,2650,רמת השרון ,186 ,סמ הנרקיס ,official ,186
107852,51,תל אביב ,2650,רמת השרון ,9587 ,הנרקיס ,synonym of 186 ,186
107853,51,תל אביב ,2650,רמת השרון ,187 ,הס משה ,official ,187
107854,51,תל אביב ,2650,רמת השרון ,9588 ,משה הס ,synonym of 187 ,187
107855,51,תל אביב ,2650,רמת השרון ,9589 ,הס ,synonym of 187 ,187
107856,51,תל אביב ,2650,רמת השרון ,188 ,יותם ,official ,188
107857,51,תל אביב ,2650,רמת השרון ,189 ,אגוז ,official ,189
107858,51,תל אביב ,2650,רמת השרון ,9590 ,האגוז ,synonym of 189 ,189
107859,51,תל אביב ,2650,רמת השרון ,190 ,דקל ,official ,190
107860,51,תל אביב ,2650,רמת השרון ,9591 ,הדקל ,synonym of 190 ,190
107861,51,תל אביב ,2650,רמת השרון ,191 ,סמ בית שמאי ,official ,191
107862,51,תל אביב ,2650,רמת השרון ,192 ,עגנון ,official ,192
107863,51,תל אביב ,2650,רמת השרון ,9592 ,שי עגנון ,synonym of 192 ,192
107864,51,תל אביב ,2650,רמת השרון ,193 ,עוזיה ,official ,193
107865,51,תל אביב ,2650,רמת השרון ,194 ,תמנע ,official ,194
107866,51,תל אביב ,2650,רמת השרון ,195 ,אלון יגאל ,official ,195
107867,51,תל אביב ,2650,רמת השרון ,9593 ,אלון ,synonym of 195 ,195
107868,51,תל אביב ,2650,רמת השרון ,9594 ,יגאל אלון ,synonym of 195 ,195
107869,51,תל אביב ,2650,רמת השרון ,196 ,בגין מנחם ,official ,196
107870,51,תל אביב ,2650,רמת השרון ,9595 ,מנחם בגין ,synonym of 196 ,196
107871,51,תל אביב ,2650,רמת השרון ,9596 ,בגין ,synonym of 196 ,196
107872,51,תל אביב ,2650,רמת השרון ,197 ,דרך הצעירים ,official ,197
107873,51,תל אביב ,2650,רמת השרון ,9597 ,הצעירים ,synonym of 197 ,197
107874,51,תל אביב ,2650,רמת השרון ,198 ,סמ לוטם ,official ,198
107875,51,תל אביב ,2650,רמת השרון ,9598 ,לוטם ,synonym of 198 ,198
107876,51,תל אביב ,2650,רמת השרון ,9599 ,הלוטם ,synonym of 198 ,198
107877,51,תל אביב ,2650,רמת השרון ,199 ,סמ המשי ,official ,199
107878,51,תל אביב ,2650,רמת השרון ,200 ,אחד העם ,official ,200
107879,51,תל אביב ,2650,רמת השרון ,201 ,דותן דודו ,official ,201
107880,51,תל אביב ,2650,רמת השרון ,9600 ,דודו דותן ,synonym of 201 ,201
107881,51,תל אביב ,2650,רמת השרון ,202 ,הרב יעקב אדלשטיין ,official ,202
107882,51,תל אביב ,2650,רמת השרון ,9601 ,הרב אדלשטיין יעקב ,synonym of 202 ,202
107883,51,תל אביב ,2650,רמת השרון ,9602 ,יעקב אדלשטיין ,synonym of 202 ,202
107884,51,תל אביב ,2650,רמת השרון ,203 ,הזוהר ,official ,203
107885,51,תל אביב ,2650,רמת השרון ,9603 ,זוהר ,synonym of 203 ,203
107886,51,תל אביב ,2650,רמת השרון ,204 ,ענת גוב ,official ,204
107887,51,תל אביב ,2650,רמת השרון ,9604 ,גוב ענת ,synonym of 204 ,204
107888,51,תל אביב ,2650,רמת השרון ,205 ,מרשה פרידמן ,official ,205
107889,51,תל אביב ,2650,רמת השרון ,9605 ,פרידמן מרשה ,synonym of 205 ,205
107890,51,תל אביב ,2650,רמת השרון ,206 ,שד ויצמן ,official ,206
107891,51,תל אביב ,2650,רמת השרון ,9606 ,הנשיא ,synonym of 206 ,206
