83332,42,פתח תקווה ,98,כפר מלל ,101 ,מוסד יד אסא ,official ,101
83386,42,פתח תקווה ,198,צופית ,9521 ,אילנית ,synonym of 101 ,101
83387,42,פתח תקווה ,198,צופית ,9522 ,אילנות ,synonym of 101 ,101
83388,42,פתח תקווה ,198,צופית ,102 ,הזית ,official ,102
83389,42,פתח תקווה ,198,צופית ,9523 ,זית ,synonym of 102 ,102
83390,42,פתח תקווה ,198,צופית ,103 ,השדרה ,official ,103
83391,42,פתח תקווה ,198,צופית ,9524 ,שדרה ,synonym of 103 ,103
83392,42,פתח תקווה ,198,צופית ,104 ,הקשת ,official ,104
83393,42,פתח תקווה ,198,צופית ,105 ,הדר ,official ,105
83394,42,פתח תקווה ,198,צופית ,9525 ,ההדר ,synonym of 105 ,105
83395,42,פתח תקווה ,198,צופית ,106 ,מעלה הגן ,official ,106
83396,42,פתח תקווה ,198,צופית ,9526 ,הגן ,synonym of 106 ,106
83397,42,פתח תקווה ,198,צופית ,107 ,המשעול ,official ,107
83398,42,פתח תקווה ,198,צופית ,108 ,הבאר ,official ,108
83399,42,פתח תקווה ,198,צופית ,109 ,המצפה ,official ,109
83400,42,פתח תקווה ,198,צופית ,110 ,ברוש ,official ,110
83401,42,פתח תקווה ,198,צופית ,9527 ,הברוש ,synonym of 110 ,110
83402,42,פתח תקווה ,198,צופית ,111 ,גפן ,official ,111
83403,42,פתח תקווה ,198,צופית ,9528 ,הגפן ,synonym of 111 ,111
83404,42,פתח תקווה ,198,צופית ,112 ,דקל ,official ,112
83405,42,פתח תקווה ,198,צופית ,9529 ,הדקל ,synonym of 112 ,112
83406,42,פתח תקווה ,198,צופית ,113 ,הגנים ,official ,113
83407,42,פתח תקווה ,198,צופית ,114 ,החרוב ,official ,114
83408,42,פתח תקווה ,198,צופית ,115 ,החצב ,official ,115
83409,42,פתח תקווה ,198,צופית ,9000 ,צופית ,official ,9000
83410,42,פתח תקווה ,206,רמות השבים ,101 ,התמר ,official ,101
83411,42,פתח תקווה ,206,רמות השבים ,102 ,הלימון ,official ,102
83412,42,פתח תקווה ,206,רמות השבים ,103 ,המיסדים ,official ,103
83413,42,פתח תקווה ,206,רמות השבים ,9521 ,המייסדים ,synonym of 103 ,103
83414,42,פתח תקווה ,206,רמות השבים ,104 ,האלונים ,official ,104
83415,42,פתח תקווה ,206,רמות השבים ,9522 ,אלונים ,synonym of 104 ,104
83416,42,פתח תקווה ,206,רמות השבים ,105 ,הבנים ,official ,105
83417,42,פתח תקווה ,206,רמות השבים ,106 ,הברושים ,official ,106
83418,42,פתח תקווה ,206,רמות השבים ,107 ,הכרם ,official ,107
83419,42,פתח תקווה ,206,רמות השבים ,108 ,הצבר ,official ,108
83420,42,פתח תקווה ,206,רמות השבים ,110 ,שרת משה ,official ,110
83421,42,פתח תקווה ,206,רמות השבים ,9523 ,משה שרת ,synonym of 110 ,110
83422,42,פתח תקווה ,206,רמות השבים ,9524 ,שרת ,synonym of 110 ,110
83423,42,פתח תקווה ,206,רמות השבים ,111 ,בית העם ,official ,111
83424,42,פתח תקווה ,206,רמות השבים ,112 ,המעגל ,official ,112
83425,42,פתח תקווה ,206,רמות השבים ,113 ,הגבעה ,official ,113
83426,42,פתח תקווה ,206,רמות השבים ,114 ,הבריכה ,official ,114
83427,42,פתח תקווה ,206,רמות השבים ,115 ,הפקן ,official ,115
83428,42,פתח תקווה ,206,רמות השבים ,116 ,השקד ,official ,116
83429,42,פתח תקווה ,206,רמות השבים ,117 ,הירקנים ,official ,117
83430,42,פתח תקווה ,206,רמות השבים ,118 ,השמש העולה ,official ,118
83431,42,פתח תקווה ,206,רמות השבים ,119 ,הפרדס ,official ,119
83432,42,פתח תקווה ,206,רמות השבים ,120 ,מעלה הורדים ,official ,120
83433,42,פתח תקווה ,206,רמות השבים ,9525 ,מעלה הוורדים ,synonym of 120 ,120
83434,42,פתח תקווה ,206,רמות השבים ,9526 ,מעלה ורדים ,synonym of 120 ,120
83435,42,פתח תקווה ,206,רמות השבים ,9527 ,הורדים ,synonym of 120 ,120
83436,42,פתח תקווה ,206,רמות השבים ,121 ,סמטת הנוער ,official ,121
83437,42,פתח תקווה ,206,רמות השבים ,9528 ,סמ הנוער ,synonym of 121 ,121
83438,42,פתח תקווה ,206,רמות השבים ,122 ,המשאבים ,official ,122
83439,42,פתח תקווה ,206,רמות השבים ,9529 ,משאבים ,synonym of 122 ,122
83440,42,פתח תקווה ,206,רמות השבים ,123 ,סמ מגן ,official ,123
83441,42,פתח תקווה ,206,רמות השבים ,9530 ,המגן ,synonym of 123 ,123
83442,42,פתח תקווה ,206,רמות השבים ,124 ,הדקל ,official ,124
83443,42,פתח תקווה ,206,רמות השבים ,125 ,דרך הסולטן ,official ,125
83444,42,פתח תקווה ,206,רמות השבים ,9531 ,הסולטן ,synonym of 125 ,125
83445,42,פתח תקווה ,206,רמות השבים ,126 ,החצב ,official ,126
83446,42,פתח תקווה ,206,רמות השבים ,9532 ,סמ החצב ,synonym of 126 ,126
83447,42,פתח תקווה ,206,רמות השבים ,127 ,סמ אל על ,official ,127
83448,42,פתח תקווה ,206,רמות השבים ,9533 ,אל על ,synonym of 127 ,127
83449,42,פתח תקווה ,206,רמות השבים ,128 ,התות ,official ,128
83450,42,פתח תקווה ,206,רמות השבים ,129 ,נווה צאלים ,official ,129
83451,42,פתח תקווה ,206,רמות השבים ,9534 ,נוה צאלים ,synonym of 129 ,129
83452,42,פתח תקווה ,206,רמות השבים ,130 ,התרנגול ,official ,130
83453,42,פתח תקווה ,206,רמות השבים ,9535 ,תרנגול ,synonym of 130 ,130
83454,42,פתח תקווה ,206,רמות השבים ,131 ,סמ השדה ,official ,131
83455,42,פתח תקווה ,206,רמות השבים ,9536 ,סמטת השדה ,synonym of 131 ,131
83456,42,פתח תקווה ,206,רמות השבים ,132 ,האקליפטוס ,official ,132
83457,42,פתח תקווה ,206,רמות השבים ,133 ,החורשה ,official ,133
83458,42,פתח תקווה ,206,רמות השבים ,134 ,דרך המלך ,official ,134
83459,42,פתח תקווה ,206,רמות השבים ,9000 ,רמות השבים ,official ,9000
83460,42,פתח תקווה ,206,רמות השבים ,9537 ,רמת השבים ,synonym of 9000 ,9000
83461,42,פתח תקווה ,207,גבעת חן ,101 ,פעמי אביב ,official ,101
83462,42,פתח תקווה ,207,גבעת חן ,103 ,תרזה יפה ,official ,103
83463,42,פתח תקווה ,207,גבעת חן ,9521 ,תרזה ,synonym of 103 ,103
83464,42,פתח תקווה ,207,גבעת חן ,105 ,ברכת עם ,official ,105
83465,42,פתח תקווה ,207,גבעת חן ,106 ,שירתי ,official ,106
83466,42,פתח תקווה ,207,גבעת חן ,107 ,סמטת צפרירים ,official ,107
83467,42,פתח תקווה ,207,גבעת חן ,9522 ,סמ צפרירים ,synonym of 107 ,107
83468,42,פתח תקווה ,207,גבעת חן ,9523 ,צפרירים ,synonym of 107 ,107
83469,42,פתח תקווה ,207,גבעת חן ,108 ,סמטת בשורה ,official ,108
83470,42,פתח תקווה ,207,גבעת חן ,9524 ,סמ בשורה ,synonym of 108 ,108
83471,42,פתח תקווה ,207,גבעת חן ,9525 ,סמ' בשורה ,synonym of 108 ,108
83472,42,פתח תקווה ,207,גבעת חן ,9526 ,בשורה ,synonym of 108 ,108
83473,42,פתח תקווה ,207,גבעת חן ,109 ,סמטת ילדות ,official ,109
83474,42,פתח תקווה ,207,גבעת חן ,9527 ,סמ ילדות ,synonym of 109 ,109
83475,42,פתח תקווה ,207,גבעת חן ,9528 ,סמ' ילדות ,synonym of 109 ,109
83476,42,פתח תקווה ,207,גבעת חן ,9529 ,ילדות ,synonym of 109 ,109
83477,42,פתח תקווה ,207,גבעת חן ,110 ,סמטת חמוטל ,official ,110
83478,42,פתח תקווה ,207,גבעת חן ,9530 ,סמ חמוטל ,synonym of 110 ,110
83479,42,פתח תקווה ,207,גבעת חן ,9531 ,סמ' חמוטל ,synonym of 110 ,110
83480,42,פתח תקווה ,207,גבעת חן ,9532 ,חמוטל ,synonym of 110 ,110
83481,42,פתח תקווה ,207,גבעת חן ,115 ,פלוני יש לו ,official ,115
83482,42,פתח תקווה ,207,גבעת חן ,116 ,מעבר לים ,official ,116
83483,42,פתח תקווה ,207,גבעת חן ,9000 ,גבעת חן ,official ,9000
83484,42,פתח תקווה ,207,גבעת חן ,9533 ,גבעת חן ,synonym of 9000 ,9000
83485,42,פתח תקווה ,218,גני עם ,101 ,הבנים ,official ,101
83486,42,פתח תקווה ,218,גני עם ,102 ,הצבעוני ,official ,102
83487,42,פתח תקווה ,218,גני עם ,9521 ,צבעוני ,synonym of 102 ,102
83488,42,פתח תקווה ,218,גני עם ,103 ,סביונים ,official ,103
83489,42,פתח תקווה ,218,גני עם ,104 ,בית העם ,official ,104
83490,42,פתח תקווה ,218,גני עם ,105 ,ביער ,official ,105
83491,42,פתח תקווה ,218,גני עם ,106 ,האקליפטוס ,official ,106
83492,42,פתח תקווה ,218,גני עם ,107 ,יפה נוף ,official ,107
83493,42,פתח תקווה ,218,גני עם ,108 ,שירת השחרור ,official ,108
83494,42,פתח תקווה ,218,גני עם ,109 ,ירוק עד ,official ,109
83495,42,פתח תקווה ,218,גני עם ,110 ,דרך הים ,official ,110
83496,42,פתח תקווה ,218,גני עם ,111 ,אתרוג ,official ,111
83497,42,פתח תקווה ,218,גני עם ,112 ,התות ,official ,112
83498,42,פתח תקווה ,218,גני עם ,9000 ,גני עם ,official ,9000
83499,42,פתח תקווה ,218,גני עם ,9522 ,מוסד אהבה ,synonym of 9000 ,9000
83500,42,פתח תקווה ,218,גני עם ,9523 ,גניעם ,synonym of 9000 ,9000
83501,42,פתח תקווה ,229,גני תקווה ,101 ,ים המלח ,official ,101
83502,42,פתח תקווה ,229,גני תקווה ,9521 ,הפלמח ,synonym of 101 ,101
83503,42,פתח תקווה ,229,גני תקווה ,102 ,כנרת ,official ,102
83504,42,פתח תקווה ,229,גני תקווה ,9522 ,הגדם ,synonym of 102 ,102
83505,42,פתח תקווה ,229,גני תקווה ,9523 ,הגידם ,synonym of 102 ,102
83506,42,פתח תקווה ,229,גני תקווה ,9524 ,כינרת ,synonym of 102 ,102
83507,42,פתח תקווה ,229,גני תקווה ,103 ,הנגב ,official ,103
83508,42,פתח תקווה ,229,גני תקווה ,9525 ,הנשיא ,synonym of 103 ,103
83509,42,פתח תקווה ,229,גני תקווה ,9526 ,הנשיא הראשון ,synonym of 103 ,103
83510,42,פתח תקווה ,229,גני תקווה ,104 ,עין גדי ,official ,104
83511,42,פתח תקווה ,229,גני תקווה ,105 ,הערבה ,official ,105
83512,42,פתח תקווה ,229,גני תקווה ,9527 ,סמ הערבה ,synonym of 105 ,105
83513,42,פתח תקווה ,229,גני תקווה ,9528 ,הערבה סמ ,synonym of 105 ,105
83514,42,פתח תקווה ,229,גני תקווה ,106 ,גבעון ,official ,106
83515,42,פתח תקווה ,229,גני תקווה ,9529 ,גבעון סמ ,synonym of 106 ,106
83516,42,פתח תקווה ,229,גני תקווה ,9530 ,זבוטינסקי ,synonym of 106 ,106
83517,42,פתח תקווה ,229,גני תקווה ,9531 ,סמ גבעון ,synonym of 106 ,106
83518,42,פתח תקווה ,229,גני תקווה ,9532 ,בית חלוצים ,synonym of 106 ,106
83519,42,פתח תקווה ,229,גני תקווה ,107 ,סמ תל חי ,official ,107
83520,42,פתח תקווה ,229,גני תקווה ,9533 ,החולה סמ ,synonym of 107 ,107
83521,42,פתח תקווה ,229,גני תקווה ,9534 ,החולה ,synonym of 107 ,107
83522,42,פתח תקווה ,229,גני תקווה ,9535 ,תל חי ,synonym of 107 ,107
83523,42,פתח תקווה ,229,גני תקווה ,9536 ,סמ החולה ,synonym of 107 ,107
83524,42,פתח תקווה ,229,גני תקווה ,9537 ,תל-חי ,synonym of 107 ,107
83525,42,פתח תקווה ,229,גני תקווה ,9538 ,סמ תל-חי ,synonym of 107 ,107
83526,42,פתח תקווה ,229,גני תקווה ,108 ,שדרת התקוות ,official ,108
83527,42,פתח תקווה ,229,גני תקווה ,9539 ,שד התקוות ,synonym of 108 ,108
83528,42,פתח תקווה ,229,גני תקווה ,109 ,דגניה ,official ,109
83529,42,פתח תקווה ,229,גני תקווה ,110 ,מרחביה ,official ,110
83530,42,פתח תקווה ,229,גני תקווה ,111 ,קדושי השואה ,official ,111
83531,42,פתח תקווה ,229,גני תקווה ,9540 ,עוזיאל ,synonym of 111 ,111
83532,42,פתח תקווה ,229,גני תקווה ,112 ,סמ דביר ,official ,112
83533,42,פתח תקווה ,229,גני תקווה ,9541 ,דביר ,synonym of 112 ,112
83534,42,פתח תקווה ,229,גני תקווה ,9542 ,דביר סמ ,synonym of 112 ,112
83535,42,פתח תקווה ,229,גני תקווה ,113 ,הר סיני ,official ,113
83536,42,פתח תקווה ,229,גני תקווה ,9543 ,רשי ,synonym of 113 ,113
83537,42,פתח תקווה ,229,גני תקווה ,9544 ,סמ הר סיני ,synonym of 113 ,113
83538,42,פתח תקווה ,229,גני תקווה ,114 ,עמק זבולון ,official ,114
83539,42,פתח תקווה ,229,גני תקווה ,9545 ,גינת אימבר ,synonym of 114 ,114
83540,42,פתח תקווה ,229,גני תקווה ,9546 ,אימבר ,synonym of 114 ,114
83541,42,פתח תקווה ,229,גני תקווה ,9547 ,סמ עמק זבולון ,synonym of 114 ,114
83542,42,פתח תקווה ,229,גני תקווה ,115 ,הנחל ,official ,115
83543,42,פתח תקווה ,229,גני תקווה ,9548 ,סמ הנחל ,synonym of 115 ,115
83544,42,פתח תקווה ,229,גני תקווה ,116 ,העמקים ,official ,116
83545,42,פתח תקווה ,229,גני תקווה ,9549 ,ש עולים ,synonym of 116 ,116
83546,42,פתח תקווה ,229,גני תקווה ,9550 ,ש עמידר ,synonym of 116 ,116
83547,42,פתח תקווה ,229,גני תקווה ,9551 ,שדה יצחק ,synonym of 116 ,116
83548,42,פתח תקווה ,229,גני תקווה ,9552 ,ש בלוקים חד ,synonym of 116 ,116
83549,42,פתח תקווה ,229,גני תקווה ,9553 ,חוזה המדינה ,synonym of 116 ,116
83550,42,פתח תקווה ,229,גני תקווה ,9554 ,עמקים ,synonym of 116 ,116
83551,42,פתח תקווה ,229,גני תקווה ,117 ,קישון ,official ,117
83552,42,פתח תקווה ,229,גני תקווה ,9555 ,הקישון סמ ,synonym of 117 ,117
83553,42,פתח תקווה ,229,גני תקווה ,9556 ,סמ הקישון ,synonym of 117 ,117
83554,42,פתח תקווה ,229,גני תקווה ,9557 ,הקישון ,synonym of 117 ,117
83555,42,פתח תקווה ,229,גני תקווה ,118 ,בית שאן ,official ,118
83556,42,פתח תקווה ,229,גני תקווה ,9558 ,סמ בית שאן ,synonym of 118 ,118
83557,42,פתח תקווה ,229,גני תקווה ,9559 ,אסף ,synonym of 118 ,118
83558,42,פתח תקווה ,229,גני תקווה ,120 ,הרי יהודה ,official ,120
83559,42,פתח תקווה ,229,גני תקווה ,9560 ,הארבעה ,synonym of 120 ,120
83560,42,פתח תקווה ,229,גני תקווה ,9561 ,המתמיד ,synonym of 120 ,120
83561,42,פתח תקווה ,229,גני תקווה ,9562 ,העצמאות ,synonym of 120 ,120
83562,42,פתח תקווה ,229,גני תקווה ,121 ,הפסגה ,official ,121
83563,42,פתח תקווה ,229,גני תקווה ,9563 ,סמ הפסגה ,synonym of 121 ,121
83564,42,פתח תקווה ,229,גני תקווה ,9564 ,הפסגה סמ ,synonym of 121 ,121
83565,42,פתח תקווה ,229,גני תקווה ,122 ,קדושת יום טוב ,official ,122
83566,42,פתח תקווה ,229,גני תקווה ,123 ,סמ השרון ,official ,123
83567,42,פתח תקווה ,229,גני תקווה ,9565 ,השרון ,synonym of 123 ,123
83568,42,פתח תקווה ,229,גני תקווה ,124 ,סמ קדש ,official ,124
83569,42,פתח תקווה ,229,גני תקווה ,9566 ,קדש סמ ,synonym of 124 ,124
83570,42,פתח תקווה ,229,גני תקווה ,9567 ,ההסתדרות ,synonym of 124 ,124
83571,42,פתח תקווה ,229,גני תקווה ,9568 ,קדש ,synonym of 124 ,124
83572,42,פתח תקווה ,229,גני תקווה ,125 ,בארי ,official ,125
83573,42,פתח תקווה ,229,גני תקווה ,126 ,הכרמל ,official ,126
83574,42,פתח תקווה ,229,גני תקווה ,127 ,האורנים ,official ,127
83575,42,פתח תקווה ,229,גני תקווה ,128 ,הדקל ,official ,128
83576,42,פתח תקווה ,229,גני תקווה ,129 ,הרימון ,official ,129
83577,42,פתח תקווה ,229,גני תקווה ,9569 ,הרמון ,synonym of 129 ,129
83578,42,פתח תקווה ,229,גני תקווה ,130 ,צאלון ,official ,130
83579,42,פתח תקווה ,229,גני תקווה ,9570 ,הצאלון ,synonym of 130 ,130
83580,42,פתח תקווה ,229,גני תקווה ,131 ,התאנה ,official ,131
83581,42,פתח תקווה ,229,גני תקווה ,133 ,רבאון שלמה ,official ,133
83582,42,פתח תקווה ,229,גני תקווה ,9571 ,רב און ,synonym of 133 ,133
83583,42,פתח תקווה ,229,גני תקווה ,9572 ,רבאון ,synonym of 133 ,133
83584,42,פתח תקווה ,229,גני תקווה ,9573 ,סמ הבשן ,synonym of 133 ,133
83585,42,פתח תקווה ,229,גני תקווה ,9574 ,רב-און ,synonym of 133 ,133
83586,42,פתח תקווה ,229,גני תקווה ,134 ,סמ כינרת ,official ,134
83587,42,פתח תקווה ,229,גני תקווה ,9575 ,סמ כנרת ,synonym of 134 ,134
83588,42,פתח תקווה ,229,גני תקווה ,135 ,הרמה ,official ,135
83589,42,פתח תקווה ,229,גני תקווה ,9576 ,יהושע גוברניק ,synonym of 135 ,135
83590,42,פתח תקווה ,229,גני תקווה ,9577 ,גוברניק ,synonym of 135 ,135
83591,42,פתח תקווה ,229,גני תקווה ,136 ,דרך ההדרים ,official ,136
83592,42,פתח תקווה ,229,גני תקווה ,9578 ,האקליפטוס ,synonym of 136 ,136
83593,42,פתח תקווה ,229,גני תקווה ,9579 ,דרך הדרים ,synonym of 136 ,136
83594,42,פתח תקווה ,229,גני תקווה ,138 ,המצפה ,official ,138
83595,42,פתח תקווה ,229,גני תקווה ,9580 ,המעגל ,synonym of 138 ,138
83596,42,פתח תקווה ,229,גני תקווה ,139 ,דרך המשי ,official ,139
83597,42,פתח תקווה ,229,גני תקווה ,140 ,דרך הבשמים ,official ,140
83598,42,פתח תקווה ,229,גני תקווה ,141 ,עין חנוך ,official ,141
83599,42,פתח תקווה ,229,גני תקווה ,142 ,הגולן ,official ,142
83600,42,פתח תקווה ,229,גני תקווה ,9581 ,גולן ,synonym of 142 ,142
83601,42,פתח תקווה ,229,גני תקווה ,143 ,דרך התמרים ,official ,143
83602,42,פתח תקווה ,229,גני תקווה ,145 ,החרמון ,official ,145
83603,42,פתח תקווה ,229,גני תקווה ,146 ,סמ תבור ,official ,146
83604,42,פתח תקווה ,229,גני תקווה ,9582 ,תבור ,synonym of 146 ,146
83605,42,פתח תקווה ,229,גני תקווה ,9583 ,התבור ,synonym of 146 ,146
83606,42,פתח תקווה ,229,גני תקווה ,147 ,רחבת אלון ,official ,147
83607,42,פתח תקווה ,229,גני תקווה ,9584 ,אלון ,synonym of 147 ,147
83608,42,פתח תקווה ,229,גני תקווה ,149 ,רחבת גונן ,official ,149
83609,42,פתח תקווה ,229,גני תקווה ,9585 ,גונן ,synonym of 149 ,149
83610,42,פתח תקווה ,229,גני תקווה ,150 ,רחבת דולב ,official ,150
83611,42,פתח תקווה ,229,גני תקווה ,9586 ,דולב ,synonym of 150 ,150
83612,42,פתח תקווה ,229,גני תקווה ,152 ,הרי ירושלים ,official ,152
83613,42,פתח תקווה ,229,גני תקווה ,9587 ,סמ הרי ירושלים ,synonym of 152 ,152
83614,42,פתח תקווה ,229,גני תקווה ,153 ,בקעת הירדן ,official ,153
83615,42,פתח תקווה ,229,גני תקווה ,154 ,הר נבו ,official ,154
83616,42,פתח תקווה ,229,גני תקווה ,155 ,דרך הלב ,official ,155
83617,42,פתח תקווה ,229,גני תקווה ,9588 ,הלב ,synonym of 155 ,155
83618,42,פתח תקווה ,229,גני תקווה ,156 ,שדרת התפוזים ,official ,156
83619,42,פתח תקווה ,229,גני תקווה ,9589 ,התפוזים ,synonym of 156 ,156
83620,42,פתח תקווה ,229,גני תקווה ,9590 ,שדרות התפוזים ,synonym of 156 ,156
83621,42,פתח תקווה ,229,גני תקווה ,157 ,דרך הבקעה ,official ,157
83622,42,פתח תקווה ,229,גני תקווה ,9591 ,הבקעה ,synonym of 157 ,157
83623,42,פתח תקווה ,229,גני תקווה ,158 ,רעים ,official ,158
83624,42,פתח תקווה ,229,גני תקווה ,159 ,כיסופים ,official ,159
83625,42,פתח תקווה ,229,גני תקווה ,160 ,דרך המלך ,official ,160
83626,42,פתח תקווה ,229,גני תקווה ,9592 ,המלך ,synonym of 160 ,160
83627,42,פתח תקווה ,229,גני תקווה ,161 ,דרך אילות ,official ,161
83628,42,פתח תקווה ,229,גני תקווה ,9593 ,אילות ,synonym of 161 ,161
83629,42,פתח תקווה ,229,גני תקווה ,162 ,דרך האגמים ,official ,162
83630,42,פתח תקווה ,229,גני תקווה ,9594 ,האגמים ,synonym of 162 ,162
83631,42,פתח תקווה ,229,גני תקווה ,163 ,דרך הים ,official ,163
83632,42,פתח תקווה ,229,גני תקווה ,9595 ,הים ,synonym of 163 ,163
83633,42,פתח תקווה ,229,גני תקווה ,164 ,דרך התקווה ,official ,164
83634,42,פתח תקווה ,229,גני תקווה ,9596 ,התקווה ,synonym of 164 ,164
83635,42,פתח תקווה ,229,גני תקווה ,9597 ,דרך התקוה ,synonym of 164 ,164
83636,42,פתח תקווה ,229,גני תקווה ,9598 ,התקוה ,synonym of 164 ,164
83637,42,פתח תקווה ,229,גני תקווה ,165 ,הנשיא טרומן ,official ,165
83638,42,פתח תקווה ,229,גני תקווה ,9599 ,טרומן ,synonym of 165 ,165
83639,42,פתח תקווה ,229,גני תקווה ,9600 ,טרומן הנשיא ,synonym of 165 ,165
83640,42,פתח תקווה ,229,גני תקווה ,9601 ,רח 612 ,synonym of 165 ,165
83641,42,פתח תקווה ,229,גני תקווה ,166 ,דרך העמק ,official ,166
83642,42,פתח תקווה ,229,גני תקווה ,167 ,סמטת יובלים ,official ,167
83643,42,פתח תקווה ,229,גני תקווה ,9602 ,סמ יובלים ,synonym of 167 ,167
83644,42,פתח תקווה ,229,גני תקווה ,170 ,הגליל ,official ,170
83645,42,פתח תקווה ,229,גני תקווה ,171 ,סמ הלבונה ,official ,171
83646,42,פתח תקווה ,229,גני תקווה ,9603 ,סמ הלבנון ,synonym of 171 ,171
83647,42,פתח תקווה ,229,גני תקווה ,9604 ,הלבנון סמ ,synonym of 171 ,171
83648,42,פתח תקווה ,229,גני תקווה ,9605 ,הלבנון ,synonym of 171 ,171
83649,42,פתח תקווה ,229,גני תקווה ,9606 ,סמ לבנון ,synonym of 171 ,171
83650,42,פתח תקווה ,229,גני תקווה ,9607 ,הלבונה ,synonym of 171 ,171
83651,42,פתח תקווה ,229,גני תקווה ,9608 ,סמ לבונה ,synonym of 171 ,171
83652,42,פתח תקווה ,229,גני תקווה ,9609 ,לבונה ,synonym of 171 ,171
